<bluetooth.msbt.BluetoothSocket object at 0x00000158BFA2BA60>,"[0.56298828125, -0.3564453125, 0.71142578125, -247.80487804878052, 0.5487804878048781, 0.30487804878048785]"
<bluetooth.msbt.BluetoothSocket object at 0x00000158BFA2BA60>,"[0.55712890625, -0.3583984375, 0.70458984375, -248.78048780487808, 0.5487804878048781, 0.426829268292683]"
<bluetooth.msbt.BluetoothSocket object at 0x00000158BFA2BA60>,"[0.55810546875, -0.36083984375, 0.70751953125, -249.75609756097563, 0.426829268292683, 0.48780487804878053]"
<bluetooth.msbt.BluetoothSocket object at 0x00000158BFA2BA60>,"[0.560546875, -0.35546875, 0.712890625, -247.80487804878052, 0.48780487804878053, 0.48780487804878053]"
<bluetooth.msbt.BluetoothSocket object at 0x00000158BFA2BA60>,"[0.56103515625, -0.359375, 0.70361328125, -247.80487804878052, 0.5487804878048781, 0.426829268292683]"
<bluetooth.msbt.BluetoothSocket object at 0x00000158BFA2BA60>,"[0.5634765625, -0.3564453125, 0.7119140625, -247.80487804878052, 0.426829268292683, 0.426829268292683]"
<bluetooth.msbt.BluetoothSocket object at 0x00000158BFA2BA60>,"[0.5615234375, -0.35302734375, 0.7109375, -247.80487804878052, 0.48780487804878053, 0.48780487804878053]"
<bluetooth.msbt.BluetoothSocket object at 0x00000158BFA2BA60>,"[0.55859375, -0.35986328125, 0.7080078125, -248.78048780487808, 0.426829268292683, 0.6097560975609757]"
<bluetooth.msbt.BluetoothSocket object at 0x00000158BFA2BA60>,"[0.56201171875, -0.3544921875, 0.7158203125, -245.85365853658539, 0.48780487804878053, 0.426829268292683]"
<bluetooth.msbt.BluetoothSocket object at 0x00000158BFA2BA60>,"[0.5615234375, -0.349609375, 0.71728515625, -247.80487804878052, 0.5487804878048781, 0.48780487804878053]"
<bluetooth.msbt.BluetoothSocket object at 0x00000158BFA2BA60>,"[0.5576171875, -0.35595703125, 0.7099609375, -247.80487804878052, 0.48780487804878053, 0.6097560975609757]"
<bluetooth.msbt.BluetoothSocket object at 0x00000158BFA2BA60>,"[0.556640625, -0.35595703125, 0.70654296875, -248.78048780487808, 0.48780487804878053, 0.426829268292683]"
<bluetooth.msbt.BluetoothSocket object at 0x00000158BFA2BA60>,"[0.56005859375, -0.35595703125, 0.70849609375, -247.80487804878052, 0.426829268292683, 0.426829268292683]"
<bluetooth.msbt.BluetoothSocket object at 0x00000158BFA2BA60>,"[0.56396484375, -0.35791015625, 0.716796875, -248.78048780487808, 0.6707317073170732, 0.6097560975609757]"
<bluetooth.msbt.BluetoothSocket object at 0x00000158BFA2BA60>,"[0.55615234375, -0.36279296875, 0.7177734375, -247.80487804878052, 0.426829268292683, 0.48780487804878053]"
<bluetooth.msbt.BluetoothSocket object at 0x00000158BFA2BA60>,"[0.5576171875, -0.35205078125, 0.71044921875, -247.80487804878052, 0.3658536585365854, 0.426829268292683]"
<bluetooth.msbt.BluetoothSocket object at 0x00000158BFA2BA60>,"[0.55810546875, -0.35693359375, 0.7099609375, -247.80487804878052, 0.426829268292683, 0.30487804878048785]"
<bluetooth.msbt.BluetoothSocket object at 0x00000158BFA2BA60>,"[0.5595703125, -0.3603515625, 0.708984375, -247.80487804878052, 0.6707317073170732, 0.24390243902439027]"
<bluetooth.msbt.BluetoothSocket object at 0x00000158BFA2BA60>,"[0.5615234375, -0.35205078125, 0.70458984375, -246.82926829268294, 0.3658536585365854, 0.6097560975609757]"
<bluetooth.msbt.BluetoothSocket object at 0x00000158BFA2BA60>,"[0.560546875, -0.35693359375, 0.71142578125, -248.78048780487808, 0.426829268292683, 0.426829268292683]"
<bluetooth.msbt.BluetoothSocket object at 0x00000158BFA2BA60>,"[0.55908203125, -0.3564453125, 0.7060546875, -249.75609756097563, 0.3658536585365854, 0.5487804878048781]"
<bluetooth.msbt.BluetoothSocket object at 0x00000158BFA2BA60>,"[0.5634765625, -0.357421875, 0.703125, -247.80487804878052, 0.48780487804878053, 0.48780487804878053]"
<bluetooth.msbt.BluetoothSocket object at 0x00000158BFA2BA60>,"[0.56298828125, -0.35791015625, 0.7041015625, -247.80487804878052, 0.426829268292683, 0.426829268292683]"
<bluetooth.msbt.BluetoothSocket object at 0x00000158BFA2BA60>,"[0.56103515625, -0.3564453125, 0.72021484375, -249.75609756097563, 0.3658536585365854, 0.48780487804878053]"
<bluetooth.msbt.BluetoothSocket object at 0x00000158BFA2BA60>,"[0.5625, -0.35546875, 0.71337890625, -245.85365853658539, 0.48780487804878053, 0.426829268292683]"
<bluetooth.msbt.BluetoothSocket object at 0x00000158BFA2BA60>,"[0.5615234375, -0.35693359375, 0.71044921875, -248.78048780487808, 0.6097560975609757, 0.48780487804878053]"
<bluetooth.msbt.BluetoothSocket object at 0x00000158BFA2BA60>,"[0.5615234375, -0.3544921875, 0.7138671875, -248.78048780487808, 0.48780487804878053, 0.48780487804878053]"
<bluetooth.msbt.BluetoothSocket object at 0x00000158BFA2BA60>,"[0.55859375, -0.35595703125, 0.7138671875, -247.80487804878052, 0.5487804878048781, 0.30487804878048785]"
<bluetooth.msbt.BluetoothSocket object at 0x00000158BFA2BA60>,"[0.5595703125, -0.3564453125, 0.705078125, -247.80487804878052, 0.5487804878048781, 0.426829268292683]"
<bluetooth.msbt.BluetoothSocket object at 0x00000158BFA2BA60>,"[0.56494140625, -0.35302734375, 0.70556640625, -248.78048780487808, 0.48780487804878053, 0.6097560975609757]"
<bluetooth.msbt.BluetoothSocket object at 0x00000158BFA2BA60>,"[0.5615234375, -0.36083984375, 0.7138671875, -248.78048780487808, 0.48780487804878053, 0.24390243902439027]"
<bluetooth.msbt.BluetoothSocket object at 0x00000158BFA2BA60>,"[0.56201171875, -0.35693359375, 0.70166015625, -249.75609756097563, 0.5487804878048781, 0.48780487804878053]"
<bluetooth.msbt.BluetoothSocket object at 0x00000158BFA2BA60>,"[0.5654296875, -0.36181640625, 0.705078125, -247.80487804878052, 0.5487804878048781, 0.426829268292683]"
<bluetooth.msbt.BluetoothSocket object at 0x00000158BFA2BA60>,"[0.55859375, -0.3564453125, 0.703125, -248.78048780487808, 0.426829268292683, 0.5487804878048781]"
<bluetooth.msbt.BluetoothSocket object at 0x00000158BFA2BA60>,"[0.5654296875, -0.35302734375, 0.7021484375, -250.7317073170732, 0.3658536585365854, 0.30487804878048785]"
<bluetooth.msbt.BluetoothSocket object at 0x00000158BFA2BA60>,"[0.56005859375, -0.35986328125, 0.70458984375, -248.78048780487808, 0.6707317073170732, 0.48780487804878053]"
<bluetooth.msbt.BluetoothSocket object at 0x00000158BFA2BA60>,"[0.5625, -0.35546875, 0.70654296875, -248.78048780487808, 0.426829268292683, 0.426829268292683]"
<bluetooth.msbt.BluetoothSocket object at 0x00000158BFA2BA60>,"[0.56201171875, -0.35595703125, 0.70556640625, -248.78048780487808, 0.426829268292683, 0.5487804878048781]"
<bluetooth.msbt.BluetoothSocket object at 0x00000158BFA2BA60>,"[0.55859375, -0.357421875, 0.7001953125, -248.78048780487808, 0.426829268292683, 0.7317073170731708]"
<bluetooth.msbt.BluetoothSocket object at 0x00000158BFA2BA60>,"[0.56103515625, -0.35595703125, 0.70703125, -247.80487804878052, 0.426829268292683, 0.6097560975609757]"
<bluetooth.msbt.BluetoothSocket object at 0x00000158BFA2BA60>,"[0.55810546875, -0.3603515625, 0.69921875, -247.80487804878052, 0.48780487804878053, 0.48780487804878053]"
<bluetooth.msbt.BluetoothSocket object at 0x00000158BFA2BA60>,"[0.5576171875, -0.35595703125, 0.716796875, -248.78048780487808, 0.426829268292683, 0.5487804878048781]"
<bluetooth.msbt.BluetoothSocket object at 0x00000158BFA2BA60>,"[0.55712890625, -0.35791015625, 0.71826171875, -245.85365853658539, 0.426829268292683, 0.3658536585365854]"
<bluetooth.msbt.BluetoothSocket object at 0x00000158BFA2BA60>,"[0.5595703125, -0.353515625, 0.7080078125, -247.80487804878052, 0.5487804878048781, 0.426829268292683]"
<bluetooth.msbt.BluetoothSocket object at 0x00000158BFA2BA60>,"[0.55712890625, -0.3525390625, 0.7099609375, -247.80487804878052, 0.426829268292683, 0.3658536585365854]"
<bluetooth.msbt.BluetoothSocket object at 0x00000158BFA2BA60>,"[0.55908203125, -0.35693359375, 0.70849609375, -250.7317073170732, 0.426829268292683, 0.48780487804878053]"
<bluetooth.msbt.BluetoothSocket object at 0x00000158BFA2BA60>,"[0.556640625, -0.35302734375, 0.7080078125, -247.80487804878052, 0.48780487804878053, 0.48780487804878053]"
<bluetooth.msbt.BluetoothSocket object at 0x00000158BFA2BA60>,"[0.56201171875, -0.361328125, 0.7099609375, -249.75609756097563, 0.5487804878048781, 0.6097560975609757]"
<bluetooth.msbt.BluetoothSocket object at 0x00000158BFA2BA60>,"[0.55712890625, -0.359375, 0.7080078125, -249.75609756097563, 0.6097560975609757, 0.5487804878048781]"
<bluetooth.msbt.BluetoothSocket object at 0x00000158BFA2BA60>,"[0.55908203125, -0.36328125, 0.71533203125, -247.80487804878052, 0.426829268292683, 0.48780487804878053]"
<bluetooth.msbt.BluetoothSocket object at 0x00000158BFA2BA60>,"[0.55517578125, -0.35302734375, 0.7021484375, -247.80487804878052, 0.5487804878048781, 0.426829268292683]"
<bluetooth.msbt.BluetoothSocket object at 0x00000158BFA2BA60>,"[0.5634765625, -0.35791015625, 0.7119140625, -248.78048780487808, 0.48780487804878053, 0.48780487804878053]"
<bluetooth.msbt.BluetoothSocket object at 0x00000158BFA2BA60>,"[0.5595703125, -0.357421875, 0.7099609375, -249.75609756097563, 0.3658536585365854, 0.426829268292683]"
<bluetooth.msbt.BluetoothSocket object at 0x00000158BFA2BA60>,"[0.56298828125, -0.3623046875, 0.70849609375, -247.80487804878052, 0.48780487804878053, 0.6097560975609757]"
<bluetooth.msbt.BluetoothSocket object at 0x00000158BFA2BA60>,"[0.56298828125, -0.35498046875, 0.69921875, -248.78048780487808, 0.48780487804878053, 0.48780487804878053]"
<bluetooth.msbt.BluetoothSocket object at 0x00000158BFA2BA60>,"[0.56005859375, -0.35888671875, 0.7119140625, -247.80487804878052, 0.48780487804878053, 0.5487804878048781]"
<bluetooth.msbt.BluetoothSocket object at 0x00000158BFA2BA60>,"[0.564453125, -0.3544921875, 0.7119140625, -247.80487804878052, 0.48780487804878053, 0.426829268292683]"
<bluetooth.msbt.BluetoothSocket object at 0x00000158BFA2BA60>,"[0.56298828125, -0.3583984375, 0.708984375, -246.82926829268294, 0.426829268292683, 0.5487804878048781]"
<bluetooth.msbt.BluetoothSocket object at 0x00000158BFA2BA60>,"[0.55908203125, -0.35888671875, 0.70556640625, -248.78048780487808, 0.426829268292683, 0.48780487804878053]"
<bluetooth.msbt.BluetoothSocket object at 0x00000158BFA2BA60>,"[0.55908203125, -0.35986328125, 0.71484375, -247.80487804878052, 0.6097560975609757, 0.30487804878048785]"
<bluetooth.msbt.BluetoothSocket object at 0x00000158BFA2BA60>,"[0.55615234375, -0.3515625, 0.70751953125, -248.78048780487808, 0.48780487804878053, 0.48780487804878053]"
<bluetooth.msbt.BluetoothSocket object at 0x00000158BFA2BA60>,"[0.5615234375, -0.3515625, 0.703125, -247.80487804878052, 0.48780487804878053, 0.48780487804878053]"
<bluetooth.msbt.BluetoothSocket object at 0x00000158BFA2BA60>,"[0.5576171875, -0.35400390625, 0.70263671875, -247.80487804878052, 0.3658536585365854, 0.6097560975609757]"
<bluetooth.msbt.BluetoothSocket object at 0x00000158BFA2BA60>,"[0.55810546875, -0.3564453125, 0.7138671875, -250.7317073170732, 0.6097560975609757, 0.48780487804878053]"
<bluetooth.msbt.BluetoothSocket object at 0x00000158BFA2BA60>,"[0.5595703125, -0.3544921875, 0.7158203125, -247.80487804878052, 0.426829268292683, 0.24390243902439027]"
<bluetooth.msbt.BluetoothSocket object at 0x00000158BFA2BA60>,"[0.56298828125, -0.35888671875, 0.71533203125, -248.78048780487808, 0.48780487804878053, 0.24390243902439027]"
<bluetooth.msbt.BluetoothSocket object at 0x00000158BFA2BA60>,"[0.56298828125, -0.35888671875, 0.716796875, -247.80487804878052, 0.48780487804878053, 0.3658536585365854]"
<bluetooth.msbt.BluetoothSocket object at 0x00000158BFA2BA60>,"[0.55810546875, -0.35546875, 0.70703125, -250.7317073170732, 0.48780487804878053, 0.426829268292683]"
<bluetooth.msbt.BluetoothSocket object at 0x00000158BFA2BA60>,"[0.56201171875, -0.359375, 0.7060546875, -246.82926829268294, 0.30487804878048785, 0.3658536585365854]"
<bluetooth.msbt.BluetoothSocket object at 0x00000158BFA2BA60>,"[0.556640625, -0.35986328125, 0.7177734375, -249.75609756097563, 0.48780487804878053, 0.48780487804878053]"
<bluetooth.msbt.BluetoothSocket object at 0x00000158BFA2BA60>,"[0.5634765625, -0.36328125, 0.70703125, -247.80487804878052, 0.5487804878048781, 0.3658536585365854]"
<bluetooth.msbt.BluetoothSocket object at 0x00000158BFA2BA60>,"[0.55908203125, -0.35498046875, 0.712890625, -247.80487804878052, 0.3658536585365854, 0.426829268292683]"
<bluetooth.msbt.BluetoothSocket object at 0x00000158BFA2BA60>,"[0.56201171875, -0.361328125, 0.701171875, -245.85365853658539, 0.426829268292683, 0.48780487804878053]"
<bluetooth.msbt.BluetoothSocket object at 0x00000158BFA2BA60>,"[0.5625, -0.35205078125, 0.7099609375, -250.7317073170732, 0.48780487804878053, 0.6097560975609757]"
<bluetooth.msbt.BluetoothSocket object at 0x00000158BFA2BA60>,"[0.56298828125, -0.35009765625, 0.70947265625, -247.80487804878052, 0.6097560975609757, 0.48780487804878053]"
<bluetooth.msbt.BluetoothSocket object at 0x00000158BFA2BA60>,"[0.5576171875, -0.35986328125, 0.70263671875, -249.75609756097563, 0.426829268292683, 0.426829268292683]"
<bluetooth.msbt.BluetoothSocket object at 0x00000158BFA2BA60>,"[0.56298828125, -0.3564453125, 0.7080078125, -247.80487804878052, 0.6097560975609757, 0.426829268292683]"
<bluetooth.msbt.BluetoothSocket object at 0x00000158BFA2BA60>,"[0.560546875, -0.35498046875, 0.71728515625, -248.78048780487808, 0.5487804878048781, 0.48780487804878053]"
<bluetooth.msbt.BluetoothSocket object at 0x00000158BFA2BA60>,"[0.5615234375, -0.35546875, 0.70166015625, -247.80487804878052, 0.426829268292683, 0.426829268292683]"
<bluetooth.msbt.BluetoothSocket object at 0x00000158BFA2BA60>,"[0.56298828125, -0.35302734375, 0.7041015625, -250.7317073170732, 0.6707317073170732, 0.48780487804878053]"
<bluetooth.msbt.BluetoothSocket object at 0x00000158BFA2BA60>,"[0.55859375, -0.35791015625, 0.7041015625, -248.78048780487808, 0.6707317073170732, 0.426829268292683]"
<bluetooth.msbt.BluetoothSocket object at 0x00000158BFA2BA60>,"[0.564453125, -0.36083984375, 0.70751953125, -246.82926829268294, 0.6097560975609757, 0.5487804878048781]"
<bluetooth.msbt.BluetoothSocket object at 0x00000158BFA2BA60>,"[0.55615234375, -0.35693359375, 0.70947265625, -247.80487804878052, 0.48780487804878053, 0.5487804878048781]"
<bluetooth.msbt.BluetoothSocket object at 0x00000158BFA2BA60>,"[0.56201171875, -0.353515625, 0.7109375, -249.75609756097563, 0.6707317073170732, 0.426829268292683]"
<bluetooth.msbt.BluetoothSocket object at 0x00000158BFA2BA60>,"[0.5595703125, -0.35546875, 0.71923828125, -247.80487804878052, 0.426829268292683, 0.426829268292683]"
<bluetooth.msbt.BluetoothSocket object at 0x00000158BFA2BA60>,"[0.5634765625, -0.36181640625, 0.7021484375, -247.80487804878052, 0.6707317073170732, 0.5487804878048781]"
<bluetooth.msbt.BluetoothSocket object at 0x00000158BFA2BA60>,"[0.56005859375, -0.357421875, 0.7109375, -248.78048780487808, 0.48780487804878053, 0.48780487804878053]"
<bluetooth.msbt.BluetoothSocket object at 0x00000158BFA2BA60>,"[0.55859375, -0.357421875, 0.70751953125, -247.80487804878052, 0.5487804878048781, 0.30487804878048785]"
<bluetooth.msbt.BluetoothSocket object at 0x00000158BFA2BA60>,"[0.5634765625, -0.357421875, 0.70654296875, -246.82926829268294, 0.48780487804878053, 0.24390243902439027]"
<bluetooth.msbt.BluetoothSocket object at 0x00000158BFA2BA60>,"[0.55908203125, -0.3603515625, 0.70166015625, -247.80487804878052, 0.48780487804878053, 0.426829268292683]"
<bluetooth.msbt.BluetoothSocket object at 0x00000158BFA2BA60>,"[0.56005859375, -0.35400390625, 0.71728515625, -249.75609756097563, 0.426829268292683, 0.426829268292683]"
<bluetooth.msbt.BluetoothSocket object at 0x00000158BFA2BA60>,"[0.56298828125, -0.3603515625, 0.70654296875, -247.80487804878052, 0.48780487804878053, 0.426829268292683]"
<bluetooth.msbt.BluetoothSocket object at 0x00000158BFA2BA60>,"[0.55322265625, -0.357421875, 0.701171875, -248.78048780487808, 0.426829268292683, 0.5487804878048781]"
<bluetooth.msbt.BluetoothSocket object at 0x00000158BFA2BA60>,"[0.55712890625, -0.3642578125, 0.7060546875, -247.80487804878052, 0.6097560975609757, 0.426829268292683]"
<bluetooth.msbt.BluetoothSocket object at 0x00000158BFA2BA60>,"[0.56201171875, -0.3564453125, 0.7216796875, -247.80487804878052, 0.3658536585365854, 0.48780487804878053]"
<bluetooth.msbt.BluetoothSocket object at 0x00000158BFA2BA60>,"[0.5615234375, -0.35693359375, 0.708984375, -248.78048780487808, 0.426829268292683, 0.48780487804878053]"
<bluetooth.msbt.BluetoothSocket object at 0x00000158BFA2BA60>,"[0.56884765625, -0.359375, 0.71044921875, -248.78048780487808, 0.48780487804878053, 0.3658536585365854]"
<bluetooth.msbt.BluetoothSocket object at 0x00000158BFA2BA60>,"[0.56396484375, -0.3583984375, 0.71240234375, -248.78048780487808, 0.3658536585365854, 0.3658536585365854]"
<bluetooth.msbt.BluetoothSocket object at 0x00000158BFA2BA60>,"[0.5654296875, -0.35986328125, 0.7158203125, -247.80487804878052, 0.6097560975609757, 0.48780487804878053]"
<bluetooth.msbt.BluetoothSocket object at 0x00000158BFA2BA60>,"[0.560546875, -0.35888671875, 0.7041015625, -246.82926829268294, 0.426829268292683, 0.5487804878048781]"
<bluetooth.msbt.BluetoothSocket object at 0x00000158BFA2BA60>,"[0.560546875, -0.35546875, 0.71435546875, -248.78048780487808, 0.3658536585365854, 0.30487804878048785]"
<bluetooth.msbt.BluetoothSocket object at 0x00000158BFA2BA60>,"[0.5615234375, -0.3603515625, 0.71240234375, -249.75609756097563, 0.5487804878048781, 0.3658536585365854]"
<bluetooth.msbt.BluetoothSocket object at 0x00000158BFA2BA60>,"[0.56005859375, -0.361328125, 0.70947265625, -245.85365853658539, 0.426829268292683, 0.426829268292683]"
<bluetooth.msbt.BluetoothSocket object at 0x00000158BFA2BA60>,"[0.56005859375, -0.35498046875, 0.70361328125, -246.82926829268294, 0.6097560975609757, 0.6097560975609757]"
<bluetooth.msbt.BluetoothSocket object at 0x00000158BFA2BA60>,"[0.55908203125, -0.35546875, 0.69384765625, -248.78048780487808, 0.5487804878048781, 0.426829268292683]"
<bluetooth.msbt.BluetoothSocket object at 0x00000158BFA2BA60>,"[0.56396484375, -0.3564453125, 0.70947265625, -248.78048780487808, 0.48780487804878053, 0.5487804878048781]"
<bluetooth.msbt.BluetoothSocket object at 0x00000158BFA2BA60>,"[0.560546875, -0.35595703125, 0.71142578125, -250.7317073170732, 0.48780487804878053, 0.48780487804878053]"
<bluetooth.msbt.BluetoothSocket object at 0x00000158BFA2BA60>,"[0.560546875, -0.35888671875, 0.7109375, -248.78048780487808, 0.48780487804878053, 0.426829268292683]"
<bluetooth.msbt.BluetoothSocket object at 0x00000158BFA2BA60>,"[0.556640625, -0.35595703125, 0.7177734375, -247.80487804878052, 0.48780487804878053, 0.426829268292683]"
<bluetooth.msbt.BluetoothSocket object at 0x00000158BFA2BA60>,"[0.55908203125, -0.35986328125, 0.70654296875, -249.75609756097563, 0.6097560975609757, 0.48780487804878053]"
<bluetooth.msbt.BluetoothSocket object at 0x00000158BFA2BA60>,"[0.56201171875, -0.35205078125, 0.70556640625, -248.78048780487808, 0.48780487804878053, 0.30487804878048785]"
<bluetooth.msbt.BluetoothSocket object at 0x00000158BFA2BA60>,"[0.5595703125, -0.3583984375, 0.7001953125, -246.82926829268294, 0.48780487804878053, 0.6097560975609757]"
<bluetooth.msbt.BluetoothSocket object at 0x00000158BFA2BA60>,"[0.5576171875, -0.359375, 0.71142578125, -248.78048780487808, 0.48780487804878053, 0.48780487804878053]"
<bluetooth.msbt.BluetoothSocket object at 0x00000158BFA2BA60>,"[0.56298828125, -0.35595703125, 0.712890625, -247.80487804878052, 0.5487804878048781, 0.24390243902439027]"
<bluetooth.msbt.BluetoothSocket object at 0x00000158BFA2BA60>,"[0.55859375, -0.35595703125, 0.701171875, -248.78048780487808, 0.426829268292683, 0.3658536585365854]"
<bluetooth.msbt.BluetoothSocket object at 0x00000158BFA2BA60>,"[0.55908203125, -0.35888671875, 0.7021484375, -247.80487804878052, 0.426829268292683, 0.426829268292683]"
<bluetooth.msbt.BluetoothSocket object at 0x00000158BFA2BA60>,"[0.560546875, -0.35595703125, 0.70654296875, -246.82926829268294, 0.5487804878048781, 0.30487804878048785]"
<bluetooth.msbt.BluetoothSocket object at 0x00000158BFA2BA60>,"[0.55810546875, -0.3623046875, 0.70947265625, -247.80487804878052, 0.426829268292683, 0.5487804878048781]"
<bluetooth.msbt.BluetoothSocket object at 0x00000158BFA2BA60>,"[0.5615234375, -0.3564453125, 0.71337890625, -247.80487804878052, 0.5487804878048781, 0.426829268292683]"
<bluetooth.msbt.BluetoothSocket object at 0x00000158BFA2BA60>,"[0.56201171875, -0.35791015625, 0.70166015625, -249.75609756097563, 0.48780487804878053, 0.6097560975609757]"
<bluetooth.msbt.BluetoothSocket object at 0x00000158BFA2BA60>,"[0.560546875, -0.35693359375, 0.705078125, -247.80487804878052, 0.5487804878048781, 0.3658536585365854]"
<bluetooth.msbt.BluetoothSocket object at 0x00000158BFA2BA60>,"[0.5634765625, -0.361328125, 0.7119140625, -247.80487804878052, 0.426829268292683, 0.30487804878048785]"
<bluetooth.msbt.BluetoothSocket object at 0x00000158BFA2BA60>,"[0.5556640625, -0.3603515625, 0.71435546875, -246.82926829268294, 0.48780487804878053, 0.6097560975609757]"
<bluetooth.msbt.BluetoothSocket object at 0x00000158BFA2BA60>,"[0.5546875, -0.35595703125, 0.71630859375, -248.78048780487808, 0.426829268292683, 0.6097560975609757]"
<bluetooth.msbt.BluetoothSocket object at 0x00000158BFA2BA60>,"[0.56787109375, -0.36328125, 0.70654296875, -248.78048780487808, 0.48780487804878053, 0.6097560975609757]"
<bluetooth.msbt.BluetoothSocket object at 0x00000158BFA2BA60>,"[0.56005859375, -0.3583984375, 0.7138671875, -248.78048780487808, 0.3658536585365854, 0.30487804878048785]"
<bluetooth.msbt.BluetoothSocket object at 0x00000158BFA2BA60>,"[0.55322265625, -0.359375, 0.70556640625, -248.78048780487808, 0.3658536585365854, 0.426829268292683]"
<bluetooth.msbt.BluetoothSocket object at 0x00000158BFA2BA60>,"[0.564453125, -0.35546875, 0.70703125, -247.80487804878052, 0.426829268292683, 0.3658536585365854]"
<bluetooth.msbt.BluetoothSocket object at 0x00000158BFA2BA60>,"[0.5556640625, -0.3603515625, 0.7080078125, -247.80487804878052, 0.5487804878048781, 0.5487804878048781]"
<bluetooth.msbt.BluetoothSocket object at 0x00000158BFA2BA60>,"[0.5546875, -0.3544921875, 0.70166015625, -249.75609756097563, 0.426829268292683, 0.426829268292683]"
<bluetooth.msbt.BluetoothSocket object at 0x00000158BFA2BA60>,"[0.56201171875, -0.35205078125, 0.70751953125, -247.80487804878052, 0.6097560975609757, 0.5487804878048781]"
<bluetooth.msbt.BluetoothSocket object at 0x00000158BFA2BA60>,"[0.5634765625, -0.3564453125, 0.70751953125, -247.80487804878052, 0.5487804878048781, 0.48780487804878053]"
<bluetooth.msbt.BluetoothSocket object at 0x00000158BFA2BA60>,"[0.55810546875, -0.359375, 0.71533203125, -248.78048780487808, 0.5487804878048781, 0.3658536585365854]"
<bluetooth.msbt.BluetoothSocket object at 0x00000158BFA2BA60>,"[0.556640625, -0.3623046875, 0.7119140625, -245.85365853658539, 0.48780487804878053, 0.3658536585365854]"
<bluetooth.msbt.BluetoothSocket object at 0x00000158BFA2BA60>,"[0.5615234375, -0.35693359375, 0.71044921875, -247.80487804878052, 0.6097560975609757, 0.6707317073170732]"
<bluetooth.msbt.BluetoothSocket object at 0x00000158BFA2BA60>,"[0.56103515625, -0.35205078125, 0.7109375, -246.82926829268294, 0.48780487804878053, 0.48780487804878053]"
<bluetooth.msbt.BluetoothSocket object at 0x00000158BFA2BA60>,"[0.56298828125, -0.3564453125, 0.70849609375, -247.80487804878052, 0.48780487804878053, 0.5487804878048781]"
<bluetooth.msbt.BluetoothSocket object at 0x00000158BFA2BA60>,"[0.5615234375, -0.359375, 0.70703125, -247.80487804878052, 0.426829268292683, 0.48780487804878053]"
<bluetooth.msbt.BluetoothSocket object at 0x00000158BFA2BA60>,"[0.560546875, -0.36328125, 0.70458984375, -245.85365853658539, 0.48780487804878053, 0.48780487804878053]"
<bluetooth.msbt.BluetoothSocket object at 0x00000158BFA2BA60>,"[0.55517578125, -0.35498046875, 0.71240234375, -247.80487804878052, 0.48780487804878053, 0.3658536585365854]"
<bluetooth.msbt.BluetoothSocket object at 0x00000158BFA2BA60>,"[0.5595703125, -0.357421875, 0.71826171875, -248.78048780487808, 0.3658536585365854, 0.3658536585365854]"
<bluetooth.msbt.BluetoothSocket object at 0x00000158BFA2BA60>,"[0.56005859375, -0.35693359375, 0.701171875, -246.82926829268294, 0.48780487804878053, 0.426829268292683]"
<bluetooth.msbt.BluetoothSocket object at 0x00000158BFA2BA60>,"[0.5595703125, -0.361328125, 0.7060546875, -248.78048780487808, 0.48780487804878053, 0.3658536585365854]"
<bluetooth.msbt.BluetoothSocket object at 0x00000158BFA2BA60>,"[0.5556640625, -0.3544921875, 0.70458984375, -246.82926829268294, 0.3658536585365854, 0.3658536585365854]"
<bluetooth.msbt.BluetoothSocket object at 0x00000158BFA2BA60>,"[0.56201171875, -0.35693359375, 0.7080078125, -249.75609756097563, 0.5487804878048781, 0.426829268292683]"
<bluetooth.msbt.BluetoothSocket object at 0x00000158BFA2BA60>,"[0.5556640625, -0.357421875, 0.7099609375, -249.75609756097563, 0.5487804878048781, 0.48780487804878053]"
<bluetooth.msbt.BluetoothSocket object at 0x00000158BFA2BA60>,"[0.5595703125, -0.35498046875, 0.70361328125, -247.80487804878052, 0.6097560975609757, 0.48780487804878053]"
<bluetooth.msbt.BluetoothSocket object at 0x00000158BFA2BA60>,"[0.5654296875, -0.35595703125, 0.69970703125, -246.82926829268294, 0.48780487804878053, 0.5487804878048781]"
<bluetooth.msbt.BluetoothSocket object at 0x00000158BFA2BA60>,"[0.5625, -0.35693359375, 0.701171875, -247.80487804878052, 0.6097560975609757, 0.48780487804878053]"
<bluetooth.msbt.BluetoothSocket object at 0x00000158BFA2BA60>,"[0.564453125, -0.36083984375, 0.71630859375, -248.78048780487808, 0.48780487804878053, 0.6097560975609757]"
<bluetooth.msbt.BluetoothSocket object at 0x00000158BFA2BA60>,"[0.55908203125, -0.35888671875, 0.70849609375, -247.80487804878052, 0.5487804878048781, 0.5487804878048781]"
<bluetooth.msbt.BluetoothSocket object at 0x00000158BFA2BA60>,"[0.56103515625, -0.3515625, 0.71240234375, -247.80487804878052, 0.5487804878048781, 0.426829268292683]"
<bluetooth.msbt.BluetoothSocket object at 0x00000158BFA2BA60>,"[0.56494140625, -0.35107421875, 0.70654296875, -249.75609756097563, 0.426829268292683, 0.5487804878048781]"
<bluetooth.msbt.BluetoothSocket object at 0x00000158BFA2BA60>,"[0.56298828125, -0.35595703125, 0.701171875, -248.78048780487808, 0.5487804878048781, 0.5487804878048781]"
